,timestamp,close,volume,ret,rw_mean,rw_std,zscore,ema_fast,ema_slow,mom,ret_sign,ret_sign_sum,ret_lag1,ret_lag2,ret_lag3,labels,weights,t1
12,2025-10-26 12:15:08.659,25492.758560000017,0.06217,6.460043425180305e-05,2.6661140185494344e-05,3.439610468214927e-05,1.103011365992246,113752.63929340505,113711.91005501265,40.72923839240684,1.0,12.0,1.6700110836369118e-05,8.78960578994351e-08,0.0,1.0,0.8002844102485405,15.0
13,2025-10-26 12:15:08.659,25490.100000000006,0.13743,1.740185245390481e-05,2.7081510997133795e-05,3.482472830006408e-05,-0.2779535883690984,113755.24507498552,113714.14251222534,41.102562760177534,1.0,12.0,6.460043425180305e-05,1.6700110836369118e-05,8.78960578994351e-08,1.0,0.8003061702778799,15.0
25,2025-10-26 12:15:13.179,25484.343840000016,0.05252,-3.998684038008514e-05,8.331851695106768e-06,1.7598467352084123e-05,-2.74561931630285,113778.76854810845,113738.66570192201,40.10284618643345,-1.0,6.0,-8.788140468473484e-08,8.788140473315473e-08,0.0,-1.0,0.8003624951542757,32.0
32,2025-10-26 12:15:15.626,25484.20064000001,0.09315,-2.4257400551712392e-05,3.709013969146252e-06,2.246011469076908e-05,-1.2451590154947634,113780.15698404607,113747.60730149929,32.549682546785334,-1.0,3.0,-1.7577611745576217e-07,0.0,0.0,1.0,0.800404587909937,33.0
34,2025-10-26 12:15:17.729,25476.94936,0.1122499999999999,-9.096827828160285e-05,-3.8670596300511276e-07,1.858394487305868e-05,-4.87418428926117,113780.0893678926,113749.67969807013,30.409669822460273,1.0,-1.0,2.4345288614392966e-05,-2.4257400551712392e-05,-1.7577611745576217e-07,-1.0,0.8005134598725282,54.0
39,2025-10-26 12:15:21.012,25477.965760000006,0.0506300000000001,-5.8716293085074166e-05,-8.336246497990501e-06,2.3987314401768782e-05,-2.1002787349756664,113776.40895062327,113752.91340138845,23.495549234823557,0.0,-5.0,0.0,0.0,0.0,-1.0,0.8005699407505749,54.0
57,2025-10-26 12:15:29.915,25470.547280000013,0.05233,-8.501304805946742e-05,-8.201375159577755e-06,2.194275615272599e-05,-3.500548069068327,113763.26941756404,113756.91062688829,6.358790675745695,-1.0,-3.0,-7.38445308893744e-06,-1.582364442832642e-05,-8.210311258915102e-05,-1.0,0.8007427798305066,59.0
58,2025-10-26 12:15:29.915,25486.18088,0.0500400000000001,8.466140607598682e-05,-1.2452027562551127e-05,2.773902440713722e-05,3.5009678960065016,113761.28280636745,113756.4351964985,4.847609868957079,-1.0,-4.0,-8.501304805946742e-05,-7.38445308893744e-06,-1.582364442832642e-05,-1.0,0.8007806156061462,59.0
59,2025-10-26 12:15:31.474,25454.200320000018,0.1184,-0.00024099174770442927,-8.218957258751787e-06,3.5196593992545234e-05,-6.613503287932169,113760.40253909436,113756.29109169525,4.111447399103781,1.0,-5.0,8.466140607598682e-05,-8.501304805946742e-05,-7.38445308893744e-06,1.0,0.8029278690800338,64.0
60,2025-10-26 12:15:31.474,25477.40224000001,0.0500500000000001,6.480356279425033e-05,-1.7332729989719544e-05,6.22005154502765e-05,1.3205082435632758,113756.99563060918,113755.25302311507,1.7426074941031402,-1.0,-4.0,-0.00024099174770442927,8.466140607598682e-05,-8.501304805946742e-05,1.0,0.8051551062258865,64.0
